id,id_recipe,id_ingredient,quantity,measurement
254,152,1111,2.09,g
255,3519,224,4.83,tsp
256,1144,1465,4.19,g
257,1119,2606,3.77,tbsp
258,826,2078,3.97,ml
259,1117,1350,3.14,ml
260,2845,2218,0.96,ml
261,1979,273,1.07,piece
262,3362,754,3.96,tbsp
263,1326,2511,0.13,cup
264,3498,2305,2.23,tsp
265,1888,2290,2.0,tbsp
266,2509,2712,0.71,tsp
267,1344,2233,2.45,ml
268,739,800,1.22,cup
269,1686,181,2.68,g
270,890,1449,4.79,ml
271,3034,2913,4.75,tsp
272,3902,2697,2.36,tsp
273,388,2638,1.39,piece
274,1496,1792,4.16,cup
275,3773,1620,1.58,piece
276,2454,783,2.59,cup
277,918,2636,2.0,tsp
278,3067,2056,0.61,cup
279,3945,2030,2.94,g
280,2613,1172,2.53,cup
281,898,1300,4.59,g
282,1067,2269,2.73,tsp
283,2420,325,3.9,g
284,1783,1189,4.09,tsp
285,1045,9,0.36,g
286,3171,2294,1.74,g
287,952,43,4.65,tsp
288,571,108,4.82,cup
289,3097,1362,0.34,tbsp
290,1077,1614,3.55,cup
291,2412,2773,1.37,g
292,2814,283,4.08,cup
293,3662,1703,0.34,cup
294,2916,2587,1.1,tsp
295,3823,1347,3.88,ml
296,1721,1700,1.5,tsp
297,240,2051,1.14,tbsp
298,2882,1882,4.12,tsp
299,1277,2910,1.41,g
300,3284,2138,4.82,tsp
301,392,796,0.61,tsp
302,197,1638,4.84,tsp
303,1695,2213,2.76,tsp
304,1447,382,0.95,tsp
305,562,2499,1.27,ml
306,1965,1481,0.1,cup
307,279,391,0.52,piece
308,3526,2187,4.27,piece
309,2803,916,3.73,tbsp
310,1005,2977,0.47,ml
311,757,2142,2.01,ml
312,2801,1753,3.81,piece
313,2028,2123,3.82,ml
314,1140,2746,4.62,piece
315,3867,2599,4.43,g
316,286,2798,3.02,tsp
317,742,2697,4.81,tsp
318,134,2484,3.19,cup
319,104,893,2.62,piece
320,683,2173,4.89,tsp
321,526,220,1.14,piece
322,3909,678,4.26,piece
323,3117,2194,0.45,tsp
324,3143,2106,3.84,piece
325,163,65,1.52,tbsp
326,2080,1945,2.84,g
327,3071,2472,0.74,piece
328,3896,1073,0.12,g
329,845,1510,0.21,cup
330,2907,2049,4.1,g
331,597,1142,4.4,cup
332,1714,1490,1.82,tbsp
333,1375,345,0.78,cup
334,1467,1613,1.03,tbsp
335,1021,38,4.48,cup
336,3509,878,4.85,cup
337,1586,1283,4.0,tbsp
338,1291,2356,1.93,ml
339,2917,1784,2.58,piece
340,2016,1911,0.63,tbsp
341,818,291,4.46,ml
342,2017,2334,2.21,cup
343,639,1939,2.27,piece
344,1838,512,3.64,cup
345,3785,2232,1.54,tsp
346,989,1552,4.26,tsp
347,1549,917,3.14,piece
348,105,1084,2.5,tsp
349,3079,1941,4.1,cup
350,844,813,3.3,cup
351,1584,2753,1.33,piece
352,880,1872,3.77,tsp
353,2671,489,4.17,piece
354,3716,2395,1.97,tbsp
355,3908,577,3.55,piece
356,2992,1182,1.79,ml
357,980,1087,4.39,piece
358,3377,393,0.14,cup
359,1156,832,3.33,cup
360,278,382,3.05,tsp
361,3491,21,3.88,cup
362,3785,2345,4.51,piece
363,1647,446,4.39,ml
364,2513,2492,1.87,ml
365,628,344,0.3,g
366,2003,2188,0.48,cup
367,3595,1804,4.6,tbsp
368,118,268,2.75,piece
369,663,2634,0.94,ml
370,157,1060,2.56,g
371,956,1910,3.88,ml
372,2267,728,3.45,piece
373,1387,2892,0.78,tsp
374,2910,1328,1.54,cup
375,1240,1657,3.5,g
376,1451,1285,1.89,ml
377,1216,181,3.97,tbsp
378,569,1408,4.65,piece
379,922,754,4.65,cup
380,1775,202,3.9,tbsp
381,83,113,3.88,cup
382,358,68,4.51,tbsp
383,2933,2414,2.53,ml
384,1540,332,4.24,tbsp
385,2917,77,1.09,ml
386,1716,1249,2.29,tbsp
387,861,718,0.26,piece
388,975,2189,0.33,cup
389,853,433,2.62,cup
390,3596,1589,3.98,cup
391,2484,381,1.38,g
392,3375,2342,1.0,tsp
393,337,670,4.07,piece
394,86,91,4.55,cup
395,267,1067,2.04,tsp
396,832,1830,0.53,g
397,1797,501,1.24,ml
398,2166,568,2.88,tbsp
399,2361,1984,0.29,ml
400,3610,472,4.65,ml
401,3601,1923,3.5,cup
402,2371,2676,1.4,piece
403,2855,2093,2.41,tbsp
404,3172,2526,1.63,ml
405,3179,954,1.68,ml
406,2525,2617,1.74,piece
407,3494,449,0.82,tsp
408,427,1293,1.42,piece
409,2244,722,2.16,g
410,3080,534,1.1,g
411,3572,579,1.06,piece
412,432,308,0.35,piece
413,3292,2419,4.98,tbsp
414,3385,3000,2.95,tbsp
415,14,2851,1.4,tsp
416,627,1387,4.28,ml
417,2471,84,4.38,tsp
418,1615,480,3.55,g
419,1212,1591,0.58,cup
420,287,703,2.73,tsp
421,2143,2778,4.62,piece
422,2832,791,1.12,tbsp
423,1754,2435,3.9,cup
424,2614,139,0.49,tsp
425,441,28,3.81,tbsp
426,2529,423,2.7,ml
427,1909,309,0.18,piece
428,2197,1704,0.13,cup
429,931,1452,3.39,piece
430,1954,159,1.86,tsp
431,3179,464,0.71,tbsp
432,2835,1928,4.15,tsp
433,2155,2479,0.68,g
434,793,498,4.42,piece
435,2192,1216,3.12,ml
436,2599,1419,2.14,ml
437,3889,2113,1.72,piece
438,1735,1661,3.72,tbsp
439,717,2651,2.78,tsp
440,3265,640,1.69,tbsp
441,2069,1177,3.29,ml
442,3855,1573,2.28,g
443,143,2422,4.95,tsp
444,1200,500,0.87,g
445,3239,2955,1.77,tbsp
446,866,2411,3.72,g
447,1238,2443,1.8,cup
448,229,859,4.18,cup
449,337,1026,2.27,piece
450,1385,1242,0.97,tsp
451,581,1242,3.85,ml
452,9,2589,1.54,piece
453,2843,2438,0.39,cup
454,626,2706,1.54,tbsp
455,661,1004,3.65,tsp
456,1646,2371,4.61,cup
457,3469,1881,1.04,ml
458,2724,2068,3.8,piece
459,437,611,4.15,piece
460,1582,13,1.94,cup
461,1674,1097,2.08,tbsp
462,2935,724,0.53,cup
463,2180,2733,4.23,ml
464,1219,607,2.85,tbsp
465,434,2281,4.78,g
466,861,1542,4.83,tsp
467,3638,1093,2.52,ml
468,833,1221,1.33,tbsp
469,2108,2095,4.38,tsp
470,3987,1491,3.38,piece
471,3720,2826,2.06,tbsp
472,3937,2029,3.14,piece
473,2935,643,1.31,tsp
474,3974,89,2.11,g
475,3553,567,2.08,cup
476,924,168,3.47,piece
477,2236,1892,4.69,tbsp
478,344,1402,0.5,ml
479,1931,1769,3.36,piece
480,2860,1768,0.93,tbsp
481,543,264,2.79,cup
482,2559,1675,4.54,g
483,748,464,3.7,tsp
484,912,1016,4.99,cup
485,1728,2555,3.55,ml
486,194,750,4.69,tbsp
487,3282,2565,2.18,cup
488,1054,1348,0.8,piece
489,2716,2121,1.78,ml
490,2728,1595,3.45,g
491,1797,1803,3.2,ml
492,3882,2077,0.82,piece
493,2188,428,0.83,cup
494,2250,1097,2.38,cup
495,595,87,2.27,tbsp
496,146,935,0.39,tbsp
497,2247,169,0.55,tbsp
498,1386,1608,3.76,tsp
499,1435,2998,3.09,cup
500,1870,243,4.88,g
501,3638,1474,0.87,cup
502,776,2664,2.29,tsp
503,1944,2832,2.86,tbsp
504,1939,2747,3.92,ml
505,338,2615,2.03,cup
506,55,1262,2.78,ml
507,313,2044,1.63,piece
508,3655,1206,1.04,g
509,3710,1011,3.73,g
510,3063,2129,4.62,g
511,3574,2858,4.86,tsp
512,1975,2514,3.82,tbsp
513,2757,1081,1.83,tbsp
514,205,914,3.38,g
515,3383,2509,3.94,g
516,2034,934,3.37,cup
517,3036,841,1.06,tbsp
518,3124,2901,4.06,ml
519,3596,956,4.53,g
520,3665,1323,2.17,g
521,2261,2832,2.41,tbsp
522,397,2134,3.62,ml
523,2541,2676,1.9,cup
524,1393,2515,0.38,tsp
525,1724,1300,2.85,piece
526,3738,2460,0.61,cup
527,1781,2043,0.42,g
528,2096,1388,4.66,cup
529,3817,140,3.89,piece
530,2288,2685,4.43,cup
531,3367,2186,4.21,tbsp
532,3876,2444,4.28,tbsp
533,944,2960,3.21,ml
534,1066,1623,4.52,g
535,3175,1463,1.76,tsp
536,1533,599,0.96,cup
537,3676,2286,4.61,piece
538,3796,2379,4.42,cup
539,1798,2876,4.11,piece
540,1402,2135,2.71,ml
541,1862,2067,1.42,tbsp
542,3659,2229,2.5,ml
543,877,2025,1.79,tbsp
544,1761,1601,2.22,tsp
545,2052,1217,2.24,tsp
546,334,2558,1.08,ml
547,879,1236,3.79,g
548,3251,886,0.76,ml
549,1941,1138,2.08,tsp
550,2315,1987,0.19,piece
551,3358,2102,1.58,tsp
552,611,1670,4.19,g
553,3164,2742,3.02,tsp
554,1144,855,4.72,tbsp
555,1112,441,0.31,tsp
556,2992,2068,2.0,tbsp
557,1312,2624,3.18,ml
558,49,112,0.15,cup
559,1034,1785,2.73,cup
560,3994,1452,1.09,piece
561,2929,1731,0.23,ml
562,2609,2845,1.34,cup
563,233,1332,2.44,cup
564,2641,420,3.06,tbsp
565,3921,2943,2.84,piece
566,3687,639,2.02,g
567,3329,1029,0.26,cup
568,1123,1677,3.67,tbsp
569,354,974,3.69,tbsp
570,239,1390,3.45,cup
571,1751,578,3.71,g
572,1430,2565,3.38,tsp
573,414,668,0.19,tbsp
574,244,652,1.5,tsp
575,1809,789,4.67,tbsp
576,904,537,0.22,cup
577,3412,122,4.48,tbsp
578,609,2247,2.16,tbsp
579,402,2919,4.19,piece
580,997,1198,2.88,piece
581,3896,534,4.24,ml
582,1608,931,2.31,ml
583,1216,2194,1.4,tsp
584,3401,2018,3.64,ml
585,1727,1556,2.88,cup
586,2600,7,2.78,tsp
587,1302,995,0.4,tbsp
588,2615,2095,1.2,tsp
589,2457,2740,2.08,piece
590,1854,492,2.49,tsp
591,1625,2217,4.64,cup
592,2130,520,4.35,ml
593,47,2738,3.47,g
594,631,1751,0.93,cup
595,3601,2713,2.53,cup
596,1537,1487,3.05,tbsp
597,1278,747,1.36,cup
598,2644,2103,1.63,g
599,510,2698,0.17,tbsp
600,3476,1398,1.16,cup
601,1096,2483,2.11,cup
602,127,2602,3.46,ml
603,1229,1905,4.93,piece
604,1444,1725,0.34,tsp
605,1583,1296,1.45,piece
606,2915,2300,3.45,cup
607,3629,1690,0.68,tsp
608,1903,667,2.43,piece
609,1825,2893,3.14,g
610,1911,399,3.16,cup
611,3854,462,0.83,tsp
612,477,1230,1.28,tbsp
613,258,2471,1.98,tbsp
614,1551,535,0.77,tbsp
615,596,2572,0.36,tsp
616,1546,2952,3.14,ml
617,1892,2405,2.3,tbsp
618,3886,678,0.56,piece
619,2388,333,4.96,ml
620,3184,261,3.65,g
621,1612,509,2.03,tsp
622,2250,400,2.31,tsp
623,3410,42,1.56,cup
624,644,525,2.47,tbsp
625,2169,2484,3.02,ml
626,2374,60,4.06,ml
627,2100,1160,3.88,tsp
628,1933,2030,1.41,tsp
629,2481,2174,2.88,tsp
630,737,2396,3.61,piece
631,2412,2319,3.45,tbsp
632,2025,2607,0.14,piece
633,115,2581,4.55,tbsp
634,3707,1073,0.33,ml
635,2400,513,2.24,piece
636,3741,1273,2.63,tbsp
637,2677,2795,4.59,tbsp
638,1913,252,4.87,ml
639,1863,1102,3.38,piece
640,441,2143,1.54,tbsp
641,1259,2001,0.16,ml
642,3805,427,4.26,cup
643,1735,1114,3.16,tsp
644,500,1112,3.76,ml
645,1847,788,4.8,ml
646,1815,1929,3.92,tsp
647,1655,2392,2.68,tbsp
648,2563,2528,3.53,tbsp
649,2552,832,3.41,tbsp
650,2617,1961,1.08,cup
651,3629,2087,3.09,ml
652,3448,1125,2.8,tsp
653,1318,1294,3.88,tbsp
654,591,970,0.18,tsp
655,3745,2220,0.55,ml
656,3168,1091,1.85,g
657,1528,1527,1.41,tbsp
658,3625,1471,0.14,g
659,3864,505,2.18,tbsp
660,1525,1645,4.25,g
661,2695,792,1.1,cup
662,904,2993,2.67,ml
663,2821,775,3.25,ml
664,1472,2026,4.88,cup
665,1401,2607,4.48,tbsp
666,3363,664,2.45,tsp
667,716,2040,1.0,g
668,1634,2096,1.19,g
669,2432,345,2.86,piece
670,1497,2207,2.38,cup
671,1177,1845,1.54,g
672,2337,2097,0.74,tbsp
673,1298,1117,4.7,g
674,3471,1088,1.73,ml
675,2146,57,2.98,ml
676,224,1669,1.81,ml
677,199,168,1.05,ml
678,3663,1420,4.56,tbsp
679,1388,1361,0.76,g
680,3708,2471,3.43,cup
681,2236,1009,4.6,g
682,1045,2755,3.38,piece
683,40,1984,3.94,tsp
684,339,184,4.2,tsp
685,2729,789,1.15,tsp
686,2295,831,2.92,g
687,371,1888,4.03,piece
688,1041,663,4.25,tbsp
689,980,566,4.46,g
690,1214,2021,2.1,tbsp
691,1564,2600,3.64,tbsp
692,1972,1036,0.64,cup
693,3475,2587,0.32,ml
694,1242,2662,0.31,piece
695,3752,1406,4.7,g
696,2038,432,2.76,tsp
697,3500,2109,3.1,cup
698,482,493,3.18,tbsp
699,1953,1756,4.43,piece
700,1268,2950,4.18,piece
701,3974,586,2.17,cup
702,2510,631,3.11,tsp
703,1672,1551,0.94,tsp
704,3323,76,0.94,g
705,1563,419,2.17,tsp
706,285,1167,3.35,ml
707,508,2068,3.93,cup
708,2985,2800,4.76,tbsp
709,949,2,4.64,tsp
710,1701,692,1.5,ml
711,1699,2886,3.9,tbsp
712,3327,1804,2.63,cup
713,3155,2132,1.96,ml
714,2291,2311,1.25,g
715,1693,1440,3.83,tsp
716,2668,1987,0.93,piece
717,2829,351,2.76,ml
718,2163,268,4.02,piece
719,2043,2358,1.12,ml
720,1785,634,3.2,cup
721,2773,226,4.33,piece
722,2414,599,3.11,tsp
723,1506,1594,2.0,ml
724,1549,2689,3.84,piece
725,3810,2039,1.4,tbsp
726,3622,689,0.42,g
727,1361,861,1.9,tbsp
728,2982,937,4.58,tbsp
729,2855,2447,0.14,g
730,2995,506,3.35,piece
731,1718,1533,1.14,cup
732,3094,964,4.08,tsp
733,2554,1288,0.77,g
734,412,1434,3.32,cup
735,1653,945,0.36,piece
736,219,580,1.99,cup
737,3173,1279,4.71,piece
738,1410,824,0.47,ml
739,2043,2279,4.75,tsp
740,2563,706,1.26,tsp
741,3923,414,0.6,cup
742,3534,2784,1.6,cup
743,3550,2390,0.91,g
744,1526,2825,0.64,g
745,1670,2609,1.57,ml
746,1393,1918,1.91,ml
747,3053,1510,2.98,piece
748,1745,1154,2.43,cup
749,2973,1750,0.3,piece
750,1836,2587,2.93,g
751,2194,1806,3.84,g
752,1817,1308,4.43,tbsp
753,2768,42,1.3,cup
754,2834,1934,4.58,ml
755,2518,2039,2.91,piece
756,2229,1049,4.03,piece
757,3191,293,0.46,g
758,2167,2010,1.24,ml
759,403,2744,0.11,cup
760,1706,826,2.97,piece
761,1221,228,2.07,tbsp
762,1449,2919,2.88,g
763,1106,1771,3.3,tsp
764,3373,1011,1.32,g
765,3419,1158,3.07,piece
766,3483,2354,4.54,piece
767,3522,1701,0.56,tbsp
768,2667,1273,1.09,ml
769,2091,210,3.47,g
770,2645,2890,2.69,cup
771,471,497,3.7,tbsp
772,1505,613,3.65,tbsp
773,3290,2608,3.6,piece
774,929,1467,2.87,ml
775,1890,1130,2.5,tsp
776,3136,603,4.87,piece
777,3609,1646,3.56,ml
778,3960,521,0.13,tsp
779,677,1692,4.87,tbsp
780,1630,794,1.85,ml
781,2535,2466,0.77,tbsp
782,1909,2310,4.75,g
783,201,2013,4.32,g
784,2854,2255,4.38,ml
785,3412,2292,0.67,tbsp
786,2274,1644,0.36,cup
787,1945,207,4.12,cup
788,627,1320,1.37,tsp
789,2367,2331,0.12,g
790,1252,2788,0.75,tsp
791,911,581,2.56,g
792,1543,2695,3.47,tsp
793,1677,646,3.06,tbsp
794,431,829,3.23,tbsp
795,614,2848,4.98,cup
796,2462,1449,2.59,ml
797,1456,2304,3.03,cup
798,268,1635,3.44,tsp
799,3034,889,2.56,piece
800,1700,2835,4.78,g
801,1210,147,1.38,cup
802,123,870,2.83,g
803,1144,2839,4.85,ml
804,1088,2665,0.38,ml
805,2247,477,1.65,ml
806,1759,46,4.22,cup
807,2538,2147,4.49,ml
808,3580,392,1.19,cup
809,185,2272,0.89,cup
810,1806,1242,1.57,tbsp
811,230,1173,3.16,tbsp
812,1306,2098,4.19,cup
813,1818,1629,3.52,ml
814,516,2259,4.32,g
815,1021,1344,4.76,tsp
816,1390,491,1.08,tsp
817,1894,2393,2.5,cup
818,1874,1167,1.79,tbsp
819,3366,2316,1.69,ml
820,943,1688,4.91,ml
821,92,1601,0.1,g
822,1301,1322,3.45,g
823,1767,2515,0.67,piece
824,3607,1311,1.19,cup
825,424,878,1.16,tsp
826,173,872,2.67,tsp
827,2684,2778,3.07,tsp
828,616,2522,3.16,tbsp
829,3185,145,0.92,tsp
830,498,406,2.17,ml
831,483,1670,4.33,tbsp
832,166,483,1.79,g
833,2624,856,2.39,tsp
834,3548,1293,0.46,tbsp
835,508,1909,1.41,g
836,1218,304,1.44,g
837,3133,2529,3.69,g
838,719,2601,3.31,ml
839,687,284,3.24,piece
840,2788,1950,1.53,cup
841,2747,128,3.64,ml
842,2438,154,1.41,piece
843,3346,2261,0.36,tsp
844,2216,2121,2.72,ml
845,3040,2137,3.96,tsp
846,1067,101,2.72,g
847,3557,266,2.84,tbsp
848,3357,1204,1.91,cup
849,1328,1936,3.66,ml
850,2584,1451,1.28,tbsp
851,3947,2182,2.33,ml
852,1598,1191,2.25,cup
853,1555,814,3.63,ml
854,13,2206,2.29,cup
855,1919,480,0.24,g
856,3519,952,4.21,g
857,1037,2881,3.08,tbsp
858,3881,627,2.68,g
859,2167,2773,4.13,piece
860,2700,2527,4.87,g
861,3025,1649,3.54,ml
862,3141,2946,3.56,piece
863,2827,2587,4.1,g
864,1733,1831,3.64,ml
865,1728,371,0.23,g
866,313,592,1.43,tbsp
867,1375,2032,1.91,ml
868,660,1528,2.47,ml
869,899,2684,4.47,cup
870,3707,2945,1.92,g
871,1201,1907,1.84,ml
872,260,2620,0.18,cup
873,1081,467,4.67,cup
874,1471,1853,0.36,ml
875,721,873,4.79,cup
876,2066,2987,3.79,cup
877,3650,1881,4.23,g
878,549,2422,3.99,g
879,3155,2003,0.77,cup
880,1968,975,3.25,tbsp
881,3376,2918,0.96,g
882,1312,2525,1.83,ml
883,3118,994,3.63,piece
884,381,1078,0.62,cup
885,3971,2593,2.5,piece
886,554,170,3.43,ml
887,3497,621,4.9,cup
888,3347,868,3.6,piece
889,2494,1540,1.33,cup
890,3756,2242,2.13,piece
891,2926,953,3.79,g
892,748,2423,1.25,tbsp
893,270,1903,1.89,piece
894,701,1026,3.06,tsp
895,3592,239,2.48,cup
896,3041,1565,2.96,piece
897,2205,1864,0.32,piece
898,2980,1573,2.33,tbsp
899,3699,49,1.11,piece
900,327,2018,2.27,g
901,3493,2232,3.84,piece
902,3140,1672,2.93,g
903,633,1612,3.93,tbsp
904,344,2038,2.57,tsp
905,1138,2819,2.25,tsp
906,1658,450,1.79,tsp
907,3959,1355,3.81,g
908,1235,2473,0.76,ml
909,1382,2738,4.56,tsp
910,256,1136,3.39,g
911,2865,2755,1.13,cup
912,2823,1316,3.15,ml
913,1265,1123,4.59,g
914,988,1252,2.51,cup
915,2198,2827,1.87,ml
916,171,717,2.07,tbsp
917,2788,1541,1.43,ml
918,3036,1790,2.65,ml
919,3535,538,1.51,ml
920,1126,2416,1.84,g
921,950,1580,1.85,ml
922,896,1397,0.24,piece
923,3048,1296,2.56,cup
924,2533,2898,0.53,g
925,1053,1618,0.1,piece
926,2838,2199,3.01,ml
927,2262,2440,1.76,cup
928,467,702,1.58,g
929,2226,1998,0.19,ml
930,442,2993,4.91,tsp
931,2685,2156,3.25,piece
932,3227,1209,0.13,cup
933,3732,1413,0.87,g
934,544,1279,4.38,ml
935,1409,2096,0.87,ml
936,1389,2791,0.12,cup
937,3707,2336,0.62,ml
938,259,1311,2.6,cup
939,2417,862,1.2,tsp
940,2655,1255,3.85,ml
941,2718,2724,3.19,g
942,3688,132,1.83,tbsp
943,3826,2564,1.72,cup
944,2435,134,4.88,tbsp
945,1584,1238,4.02,cup
946,633,2012,0.97,tbsp
